                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      632                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899952E-001                  1.8563057545349943E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899952E-001                  1.8563057545349943E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073106201465251E+000                  3.9146179200628422E-008                 -7.4073106201465251E+000                 -9.8999999999999986E+001                 -2.3179309666126549E+001                 -7.4073106201465251E+000                  3.9146179200628422E-008                 -7.4073106201465269E+000                 -2.1677336023863980E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6957741536705231E+000                  1.5326207283789870E+000                  8.9741521771294475E-001                  3.0746009560362308E+000                  0.0000000000000000E+000                  1.3244596915621573E+001                 -1.3071410043751868E+000                  6.4232057198725956E+000                  6.2126650596628619E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861509E-003                  9.3805276451495445E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                       5                                      636                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7245922652490739E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7245922652490739E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073106193330567E+000                  3.9146179273952338E-008                 -7.4073106193330567E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4073106193330567E+000                  3.9146179273952338E-008                 -7.4073106193330593E+000                 -2.1677336021201850E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958064426153823E+000                  1.5327498829001540E+000                  8.9741521708380978E-001                  3.0746009572945008E+000                  0.0000000000000000E+000                  1.3244596915922406E+001                 -1.3071410041465921E+000                  6.4232057199448986E+000                  6.2126650596624744E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861492E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      10                                      636                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7296618339720519E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7296618339720519E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073106169808458E+000                  3.9146179485974525E-008                 -7.4073106169808458E+000                 -9.8999999999999986E+001                 -2.3179309666126549E+001                 -7.4073106169808458E+000                  3.9146179485974525E-008                 -7.4073106169808485E+000                 -2.1677336013498948E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958032445689000E+000                  1.5327370419276747E+000                  8.9741519269053394E-001                  3.0746010060810525E+000                  0.0000000000000000E+000                  1.3244596916791531E+001                 -1.3071410034868460E+000                  6.4232057201544368E+000                  6.2126650596613464E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861479E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      15                                      636                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7405169303712734E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7405169303712734E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073106111161859E+000                  3.9146180014599794E-008                 -7.4073106111161859E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4073106111161859E+000                  3.9146180014599794E-008                 -7.4073106111161877E+000                 -2.1677335994288271E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958019226544625E+000                  1.5327317200870916E+000                  8.9741517559911799E-001                  3.0746010402638841E+000                  0.0000000000000000E+000                  1.3244596918957454E+001                 -1.3071410018432366E+000                  6.4232057206771334E+000                  6.2126650596585309E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      20                                      636                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7605629175851501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7605629175851501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073105965111985E+000                  3.9146181331055535E-008                 -7.4073105965111985E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4073105965111985E+000                  3.9146181331055535E-008                 -7.4073105965112012E+000                 -2.1677335946441350E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958014361412439E+000                  1.5327297513624067E+000                  8.9741516426321255E-001                  3.0746010629356952E+000                  0.0000000000000000E+000                  1.3244596924350276E+001                 -1.3071409977514321E+000                  6.4232057219790768E+000                  6.2126650596515165E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      25                                      636                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7897289177926139E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.7897289177926139E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073105601555680E+000                  3.9146184608058157E-008                 -7.4073105601555680E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4073105601555680E+000                  3.9146184608058157E-008                 -7.4073105601555707E+000                 -2.1677335827326875E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958012916656049E+000                  1.5327291564372894E+000                  8.9741515575193176E-001                  3.0746010799582568E+000                  0.0000000000000000E+000                  1.3244596937773096E+001                 -1.3071409875674660E+000                  6.4232057252202255E+000                  6.2126650596340560E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      30                                      636                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8208299088417458E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8208299088417458E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073104696761991E+000                  3.9146192763635989E-008                 -7.4073104696761991E+000                 -9.8999999999999986E+001                 -2.3179309666126549E+001                 -7.4073104696761991E+000                  3.9146192763635989E-008                 -7.4073104696762018E+000                 -2.1677335530853910E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958012593916512E+000                  1.5327290059093746E+000                  8.9741514503588227E-001                  3.0746011013903560E+000                  0.0000000000000000E+000                  1.3244596971177208E+001                 -1.3071409622241985E+000                  6.4232057332867596E+000                  6.2126650595905963E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      35                                      636                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8432127119938874E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8432127119938874E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073102445157577E+000                  3.9146213059027036E-008                 -7.4073102445157577E+000                 -9.8999999999999986E+001                 -2.3179309666126549E+001                 -7.4073102445157577E+000                  3.9146213059027036E-008                 -7.4073102445157604E+000                 -2.1677334792994266E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958012548180368E+000                  1.5327289435572373E+000                  8.9741512300704318E-001                  3.0746011454480340E+000                  0.0000000000000000E+000                  1.3244597054301453E+001                 -1.3071408991595805E+000                  6.4232057533605182E+000                  6.2126650594824384E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      40                                      636                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8531228718329986E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8531228718329986E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073096842168944E+000                  3.9146263562990937E-008                 -7.4073096842168944E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4073096842168944E+000                  3.9146263562990937E-008                 -7.4073096842168962E+000                 -2.1677332956732776E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958012576994479E+000                  1.5327288494052851E+000                  8.9741507016824418E-001                  3.0746012511256322E+000                  0.0000000000000000E+000                  1.3244597261146003E+001                 -1.3071407422317280E+000                  6.4232058033123600E+000                  6.2126650592132970E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
                                      45                                      636                  1.8281309940044158E-001                 -1.5160251739045081E+000                  2.7000000000000002E+000                  3.3729869674519655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8556581696801057E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999263899941E-001                  1.8556581696801057E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4073082899680491E+000                  3.9146389237441467E-008                 -7.4073082899680491E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4073082899680491E+000                  3.9146389237441467E-008                 -7.4073082899680509E+000                 -2.1677328387239445E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6958012678534393E+000                  1.5327286289789963E+000                  8.9741493964711549E-001                  3.0746015121678894E+000                  0.0000000000000000E+000                  1.3244597775849398E+001                 -1.3071403517402558E+000                  6.4232059276116891E+000                  6.2126650585435650E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607861314E-003                  9.3805276451495428E-003                  3.4468833607861470E-003                  9.3805276451495428E-003                  1.8900000000000006E+000                  7.5591954638482239E-001                                        0                                        2 
