                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260609"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     3813                  1.7677669529663690E+004                  4.2474250108400469E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2028489946568088E-002                  3.1746887284880732E-002                  3.9064781107850388E-008                  9.9999999996637479E-001                  9.7139958365177381E-001                  3.1746887284880732E-002                  3.9064781107850388E-008                  9.9999999996637479E-001                  9.7139958365177381E-001                 -1.5170149325126178E-001                  7.0517759721891216E-001                 -1.5170149325126212E-001                 -4.6994970423944551E+001                 -1.5255619765854984E+001                 -1.5170149325126178E-001                  7.0517759721891216E-001                 -1.7259024359304126E-001                 -1.4799758583000386E+000                 -4.6994970423944551E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494601182603908E+000                 -1.4928613751763675E-001                 -5.0910144415102554E-002                  4.5398879161333383E+000                  0.0000000000000000E+000                  1.7166459457103560E+001                  1.9045515457852047E+000                  7.1339449186461845E+000                  6.2259094778914303E-001                  8.4850578400997834E-001                  1.3006253719419718E+000                  6.9698989310670179E-001                  2.8251804202272068E-001                  8.8444889828194625E-004                  9.3802693326796201E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953350214202104E-001                  2.8028725414673517E-001                                        0                                        3                  1.0000000000000000E+000                  1.7677669529663690E+004                  3.9999999806397026E+000                  1.5293898435804046E+001                  6.4480008652935666E+001                  1.2896001730587133E+002                  6.7293801201471082E+000                  4.9061009318111983E+000                 -7.5751474875052838E-001                 -8.1871854552523649E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283570124894144E+052                 -7.8904720274149915E+031                  0.0000000000000000E+000                 -7.8904720274149915E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1928                  3.8890872965260118E+004                  4.3266062568876711E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.3181362011264356E-002                  3.2628954682885014E-002                  3.9064780830294632E-008                  9.9999999996325006E-001                  9.7139959921852304E-001                  3.2628954682885014E-002                  3.9064780830294632E-008                  9.9999999996325006E-001                  9.7139959921852304E-001                 -1.5184077082013003E-001                  7.0495148411278385E-001                 -1.5184077082013003E-001                 -4.6995659221915950E+001                 -9.8999999999999986E+001                 -1.5184077082013003E-001                  7.0495148411278385E-001                 -1.7272005618728167E-001                 -1.4803072705947997E+000                 -4.6995659221915950E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7492805393437116E+000                 -1.4999908469732387E-001                 -5.0907460171587912E-002                  4.5398825476463092E+000                  0.0000000000000000E+000                  1.7166569840524861E+001                  1.9046357026511558E+000                  7.1339709293104185E+000                  6.2259153516731369E-001                  8.4850516094869355E-001                  1.3006269703213027E+000                  6.9698869134293662E-001                  2.8251924700847852E-001                  8.8366965037843255E-004                  9.3802691708348186E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953334091167907E-001                  2.8028738316505736E-001                                        0                                        2                  2.0000000000000000E+000                  3.8890872965260118E+004                  3.9999999574073466E+000                  1.5293898376585162E+001                  6.4480008777770891E+001                  1.2896001755554178E+002                  6.7293800940905468E+000                  4.9061009128144821E+000                 -7.5752123839158969E-001                 -8.1871742437371386E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283570072072341E+052                 -7.8904721165260853E+031                  0.0000000000000000E+000                 -7.8904721165260853E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1246                  6.4346717087975827E+004                  4.4057875029352962E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2855642546716905E-002                  3.2628954682885569E-002                  3.9064781385406144E-008                  9.9999999996325006E-001                  9.7141075703464697E-001                  3.2628954682885569E-002                  3.9064781385406144E-008                  9.9999999996325006E-001                  9.7141075703464697E-001                 -1.5201095017586799E-001                  7.0467530126325117E-001                 -1.5201095017586813E-001                 -4.6996384612096357E+001                 -1.5653559774527022E+001                 -1.5201095017586799E-001                  7.0467530126325117E-001                 -1.7287830147974420E-001                 -1.4807198332559208E+000                 -4.6996384612096357E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7492810298463541E+000                 -1.4998752751138494E-001                 -5.0902662583903226E-002                  4.5398729524709394E+000                  0.0000000000000000E+000                  1.7166651580596977E+001                  1.9047092303102746E+000                  7.1339790063704811E+000                  6.2259224397502644E-001                  8.4850440811158379E-001                  1.3006288996733384E+000                  6.9698724225059960E-001                  2.8252070759996800E-001                  8.8272002298651724E-004                  9.3802689729491160E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953314738240779E-001                  2.8028753786428595E-001                                        0                                        2                  3.0000000000000000E+000                  6.4346717087975827E+004                  3.9999999295285193E+000                  1.5293898305522504E+001                  6.4480008927573138E+001                  1.2896001785514628E+002                  6.7293800628226768E+000                  4.9061008900184264E+000                 -7.5752868121809624E-001                 -8.1871542091819427E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283570008686180E+052                 -7.8904722234594062E+031                  0.0000000000000000E+000                 -7.8904722234594062E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                      925                  9.4893730035234679E+004                  4.4849687489829213E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2449395902728537E-002                  3.2040909750882973E-002                  3.9064781829495354E-008                  9.9999999996325006E-001                  9.7142443500094100E-001                  3.2040909750882973E-002                  3.9064781829495354E-008                  9.9999999996325006E-001                  9.7142443500094100E-001                 -1.5216068657663526E-001                  7.0443238462502500E-001                 -1.5216068657663531E-001                 -4.6996523034847215E+001                 -1.5954589770191003E+001                 -1.5216068657663526E-001                  7.0443238462502500E-001                 -1.7301791668639885E-001                 -1.4810752445022803E+000                 -4.6996523034847215E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7492853178211156E+000                 -1.4995353847641121E-001                 -5.0894244015939234E-002                  4.5398561153350112E+000                  0.0000000000000000E+000                  1.7166701124639570E+001                  1.9047619122485564E+000                  7.1339759650382861E+000                  6.2259309857087430E-001                  8.4850350102564476E-001                  1.3006312250692480E+000                  6.9698549581896507E-001                  2.8252246572302897E-001                  8.8157066707393692E-004                  9.3802687328114736E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953291507841608E-001                  2.8028772336698526E-001                                        0                                        2                  4.0000000000000000E+000                  9.4893730035234679E+004                  3.9999998960739256E+000                  1.5293898220247309E+001                  6.4480009107335846E+001                  1.2896001821467169E+002                  6.7293800253012295E+000                  4.9061008626631573E+000                 -7.5753311793637967E-001                 -8.1871190576799324E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569932622782E+052                 -7.8904723517793895E+031                  0.0000000000000000E+000                 -7.8904723517793895E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                      800                  1.3155014557194529E+005                  4.5641499950305455E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2233154475114302E-002                  3.2040909750882918E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7142262588340000E-001                  3.2040909750882918E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7142262588340000E-001                 -1.5225856876866931E-001                  7.0427363608181259E-001                 -1.5225856876866908E-001                 -4.6995929592240223E+001                 -9.8999999999999986E+001                 -1.5225856876866931E-001                  7.0427363608181259E-001                 -1.7310745608899386E-001                 -1.4813427390888159E+000                 -4.6995929592240223E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7492909334051960E+000                 -1.4991240248987511E-001                 -5.0884907190832149E-002                  4.5398374416847975E+000                  0.0000000000000000E+000                  1.7166787603280806E+001                  1.9048394328321263E+000                  7.1339849815057370E+000                  6.2259412709128115E-001                  8.4850241249470348E-001                  1.3006340211834957E+000                  6.9698339335472004E-001                  2.8252456238507462E-001                  8.8019288012931548E-004                  9.3802684444696128E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953263623501227E-001                  2.8028794585162692E-001                                        0                                        2                  5.0000000000000000E+000                  1.3155014557194529E+005                  3.9999998559284142E+000                  1.5293898117917079E+001                  6.4480009323051107E+001                  1.2896001864610221E+002                  6.7293799802754952E+000                  4.9061008298368352E+000                 -7.5753511750619085E-001                 -8.1870800703038760E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569841346706E+052                 -7.8904725057633821E+031                  0.0000000000000000E+000                 -7.8904725057633821E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                      800                  1.7553784421599802E+005                  4.6433312410781706E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.1944820569976426E-002                  3.0870660683217976E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7142651841867445E-001                  3.0870660683217976E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7142651841867445E-001                 -1.5244549896544124E-001                  7.0397056596154173E-001                 -1.5244549896544116E-001                 -4.6996723090664666E+001                 -9.8999999999999986E+001                 -1.5244549896544124E-001                  7.0397056596154173E-001                 -1.7327358905844265E-001                 -1.4819527884174328E+000                 -4.6996723090664666E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7492968547192640E+000                 -1.4986519350476654E-001                 -5.0873145326414730E-002                  4.5398139179559625E+000                  0.0000000000000000E+000                  1.7166824169997778E+001                  1.9048936779208758E+000                  7.1339675745155926E+000                  6.2259536818697481E-001                  8.4850110122375366E-001                  1.3006373925641925E+000                  6.9698085752406047E-001                  2.8252708075180039E-001                  8.7852703192758258E-004                  9.3802680947486713E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953230151749191E-001                  2.8028821260230236E-001                                        0                                        2                  6.0000000000000000E+000                  1.7553784421599802E+005                  3.9999998077537975E+000                  1.5293897995120796E+001                  6.4480009581909428E+001                  1.2896001916381886E+002                  6.7293799262446097E+000                  4.9061007904452456E+000                 -7.5753513607318490E-001                 -8.1870309563273813E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569731815410E+052                 -7.8904726905441671E+031                  0.0000000000000000E+000                 -7.8904726905441671E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                      800                  2.2832308258886132E+005                  4.7225124871257957E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.1489693947337548E-002                  3.0870660683217976E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7143149811140850E-001                  3.0870660683217976E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7143149811140850E-001                 -1.5261140507370835E-001                  7.0370169146182315E-001                 -1.5261140507370835E-001                 -4.6997667646876266E+001                 -9.8999999999999986E+001                 -1.5261140507370835E-001                  7.0370169146182315E-001                 -1.7341178294451989E-001                 -1.4826831720002855E+000                 -4.6997667646876266E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7493032575688896E+000                 -1.4981440876927613E-001                 -5.0860558657919983E-002                  4.5397887446189724E+000                  0.0000000000000000E+000                  1.7166870226718277E+001                  1.9049608508913987E+000                  7.1339467686680651E+000                  6.2259686293480099E-001                  8.4849952854347566E-001                  1.3006414467908416E+000                  6.9697780306053336E-001                  2.8253007582395129E-001                  8.7653422272717795E-004                  9.3802676755128690E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953189974746932E-001                  2.8028853246545488E-001                                        0                                        2                  7.0000000000000000E+000                  2.2832308258886129E+005                  3.9999997499442586E+000                  1.5293897847765255E+001                  6.4480009892539414E+001                  1.2896001978507883E+002                  6.7293798614075468E+000                  4.9061007431753385E+000                 -7.5753224753564063E-001                 -8.1869783948549990E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569600377853E+052                 -7.8904729122811357E+031                  0.0000000000000000E+000                 -7.8904729122811357E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                      800                  2.9166536863629724E+005                  4.8016937331734200E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.0915611765758487E-002                  3.0870660683217976E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7143692228262923E-001                  3.0870660683217976E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7143692228262923E-001                 -1.5274260316439175E-001                  7.0348913896982890E-001                 -1.5274260316439170E-001                 -4.6998812393651164E+001                 -9.8999999999999986E+001                 -1.5274260316439175E-001                  7.0348913896982890E-001                 -1.7350645930330416E-001                 -1.4835594682835935E+000                 -4.6998812393651164E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7493101273115910E+000                 -1.4976016530359737E-001                 -5.0847176410484571E-002                  4.5397619801241023E+000                  0.0000000000000000E+000                  1.7166927817737804E+001                  1.9050441057282672E+000                  7.1339214549833745E+000                  6.2259866321138235E-001                  8.4849764249643922E-001                  1.3006463220425157E+000                  6.9697412379621504E-001                  2.8253363656503228E-001                  8.7415177086662085E-004                  9.3802671730526619E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953141752681280E-001                  2.8028891609154788E-001                                        0                                        2                  8.0000000000000000E+000                  2.9166536863629724E+005                  3.9999996805728082E+000                  1.5293897670938598E+001                  6.4480010265295434E+001                  1.2896002053059087E+002                  6.7293797836030693E+000                  4.9061006864514480E+000                 -7.5752536319116193E-001                 -8.1869225070127505E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569442652776E+052                 -7.8904731783655066E+031                  0.0000000000000000E+000                 -7.8904731783655066E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                      798                  3.6767611189322040E+005                  4.8808749792210451E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.0360379660375813E-002                  9.9999999996325006E-001                  9.7144267665199480E-001                  2.8571338706202098E-002                  3.9064781773984203E-008                  9.9999999996325006E-001                  9.7144267665199480E-001                  2.8571338706202098E-002                  3.9064781773984203E-008                 -1.5287377997032175E-001                  7.0327668514669095E-001                 -1.5287377997032162E-001                 -4.7000160953758247E+001                 -9.8999999999999986E+001                 -1.5287377997032175E-001                  7.0327668514669095E-001                 -1.7359241471048953E-001                 -1.4846150915255953E+000                 -4.7000160953758247E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7493175035270441E+000                 -1.4970222592634405E-001                 -5.0832959152763077E-002                  4.5397335456086587E+000                  0.0000000000000000E+000                  1.7166999984067228E+001                  1.9051466153892831E+000                  7.1338915216645340E+000                  6.2260084052438702E-001                  8.4849536122969460E-001                  1.3006522196920181E+000                  6.9696967458963743E-001                  2.8253794169809354E-001                  8.7124698316967761E-004                  9.3802665568053518E-003                  3.4468833607860746E-003                  9.3805276451495393E-003                  6.9953083874741306E-001                  2.8028937620079331E-001                                        0                                        2                  9.0000000000000000E+000                  3.6767611189322034E+005                  3.9999995973270650E+000                  1.5293897458746603E+001                  6.4480010712602663E+001                  1.2896002142520533E+002                  6.7293796902376926E+000                  4.9061006183827764E+000                 -7.5751478332477618E-001                 -8.1868631271723502E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569253382677E+052                 -7.8904734976667822E+031                  0.0000000000000000E+000                 -7.8904734976667822E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
