                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      50                                      778                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.7306346899791312E+008                  1.4664684509687183E+007                  5.6376702072932985E+003                  7.3539845641221169E-001                  8.9890787273935979E-001                 -1.6804107917056466E+000                  6.7730021462658985E-001                  4.4330614689196479E-005                  3.0208426903048496E-001                  1.4923202157689947E-005                  5.0199497557455166E-003                  9.3740665172187283E-003                  2.0850244238692201E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.9751357262695424E-001                  3.0451645548266565E-004                  2.8211414471069568E-001                  3.0402026093978864E-003                  1.4849010495304607E-003                  9.3804162948084909E-003                  2.0850244238748592E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5296229254227237E+003                  3.5624026912887730E+007                  1.3598070424007956E+010                  7.3528961174419361E-001                  7.3528961174419316E-001                  1.5798002707254929E-047                  1.6194395693654572E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.6172277292485430E+015                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260609"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.0000000000000000E+000                 -4.6284815954368105E-002                  3.7513698437781136E+000                 -6.7153077294720811E+000                  4.8398681983118381E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.8267468272026320E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999949996E-001                 -4.6285545323908696E-002                  3.7519797805572814E+000                 -6.7110959178012468E+000                  4.8446908614213759E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.8543058202184004E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999887501E-001                 -4.6286448241832680E-002                  3.7528347369001001E+000                 -6.7053416548816660E+000                  4.8513014397927279E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.8923923824990908E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999793754E-001                 -4.6287784802350497E-002                  3.7545678949112258E+000                 -6.6941509206298164E+000                  4.8642283348768069E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.9679237620770942E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999575007E-001                 -4.6290824156051028E-002                  3.7567648904594826E+000                 -6.6810234677880116E+000                  4.8795571332671841E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  3.0590452447564950E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999999410949E-001                 -4.6293035839307294E-002                  3.7586948661980513E+000                 -6.6702357644598393E+000                  4.8922790291756817E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  3.1360166366808713E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999999246880E-001                 -4.6295193294481791E-002                  3.7610506523213232E+000                 -6.6579221782848821E+000                  4.9069540122333395E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  3.2262457317600449E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999999020339E-001                 -4.6298089400646732E-002                  3.7639329214172617E+000                 -6.6441096931904893E+000                  4.9236563188676694E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  3.3305517737351099E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999998785938E-001                 -4.6300991644816138E-002                  3.7677359111711981E+000                 -6.6275784980793135E+000                  4.9440014570225328E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  3.4598319830618569E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
