                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260610"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     3813                  1.7677669529663690E+004                  4.2474250108400469E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2028489946568088E-002                  3.1746887284880732E-002                  3.9064781107850388E-008                  9.9999999996637479E-001                  9.7139958365177381E-001                  3.1746887284880732E-002                  3.9064781107850388E-008                  9.9999999996637479E-001                  9.7139958365177381E-001                 -1.5170149325126178E-001                  7.0517759721891216E-001                 -1.5170149325126212E-001                 -4.6994970423944551E+001                 -1.5255619765854984E+001                 -1.5170149325126178E-001                  7.0517759721891216E-001                 -1.7259024359304126E-001                 -1.4799758583000386E+000                 -4.6994970423944551E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494601182603908E+000                 -1.4928613751763675E-001                 -5.0910144415102554E-002                  4.5398879161333383E+000                  0.0000000000000000E+000                  1.7166459457103560E+001                  1.9045515457852047E+000                  7.1339449186461845E+000                  6.2259094778914303E-001                  8.4850578400997834E-001                  1.3006253719419718E+000                  6.9698989310670179E-001                  2.8251804202272068E-001                  8.8444889828194625E-004                  9.3802693326796201E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953350214202104E-001                  2.8028725414673517E-001                                        0                                        3                  1.0000000000000000E+000                  1.7677669529663690E+004                  3.9999999806397026E+000                  1.5293898435804046E+001                  6.4480008652935666E+001                  1.2896001730587133E+002                  6.7293801201471082E+000                  4.9061009318111983E+000                 -7.5751474875052838E-001                 -8.1871854552523649E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283570124894144E+052                 -7.8904720274149915E+031                  0.0000000000000000E+000                 -7.8904720274149915E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     2453                  3.8890872965260118E+004                  4.3266062568876711E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.3181362011268596E-002                  3.2628954682884570E-002                  3.9064780386205422E-008                  9.9999999996481226E-001                  9.7139959921852237E-001                  3.2628954682884570E-002                  3.9064780386205422E-008                  9.9999999996481226E-001                  9.7139959921852237E-001                 -1.5183000827892190E-001                  7.0496895420214611E-001                 -1.5183000827892218E-001                 -4.6995392587885171E+001                 -1.5352529778863040E+001                 -1.5183000827892190E-001                  7.0496895420214611E-001                 -1.7271044412241238E-001                 -1.4802731491394283E+000                 -4.6995392587885171E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494584333320486E+000                 -1.4929479508873419E-001                 -5.0911103343967652E-002                  4.5398898339910678E+000                  0.0000000000000000E+000                  1.7166493215132640E+001                  1.9045873309628165E+000                  7.1339429630847055E+000                  6.2259153570381109E-001                  8.4850516092542094E-001                  1.3006269703429212E+000                  6.9698869134942232E-001                  2.8251924714354060E-001                  8.8366954508620036E-004                  9.3802691708062252E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953334091179287E-001                  2.8028738317005791E-001                                        0                                        2                  2.0000000000000000E+000                  3.8890872965260118E+004                  3.9999999574073466E+000                  1.5293898376585162E+001                  6.4480008777770891E+001                  1.2896001755554178E+002                  6.7293800940905468E+000                  4.9061009128144821E+000                 -7.5752123839158969E-001                 -8.1871894509509047E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283570072072341E+052                 -7.8904721165260853E+031                  0.0000000000000000E+000                 -7.8904721165260853E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1813                  6.4346717087975827E+004                  4.4057875029352962E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2915156692692349E-002                  3.2628954682885347E-002                  3.9064781163361539E-008                  9.9999999996481226E-001                  9.7140094032810020E-001                  3.2628954682885347E-002                  3.9064781163361539E-008                  9.9999999996481226E-001                  9.7140094032810020E-001                 -1.5197580974225100E-001                  7.0473232155368271E-001                 -1.5197580974225067E-001                 -4.6995706263033483E+001                 -9.8999999999999986E+001                 -1.5197580974225100E-001                  7.0473232155368271E-001                 -1.7284747275688292E-001                 -1.4805971047031754E+000                 -4.6995706263033483E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494586235086946E+000                 -1.4929434155961419E-001                 -5.0911256932699545E-002                  4.5398901411685317E+000                  0.0000000000000000E+000                  1.7166519086494905E+001                  1.9046202010617144E+000                  7.1339361202355240E+000                  6.2259224483630649E-001                  8.4850440798132831E-001                  1.3006288998030893E+000                  6.9698724227553810E-001                  2.8252070833520326E-001                  8.8271944583615111E-004                  9.3802689727961342E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953314738314354E-001                  2.8028753788877953E-001                                        0                                        2                  3.0000000000000000E+000                  6.4346717087975827E+004                  3.9999999295285193E+000                  1.5293898305522504E+001                  6.4480008927573138E+001                  1.2896001785514628E+002                  6.7293800628226768E+000                  4.9061008900184264E+000                 -7.5752868121809624E-001                 -8.1871900836301115E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283570008686180E+052                 -7.8904722234594062E+031                  0.0000000000000000E+000                 -7.8904722234594062E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                     1565                  9.4893730035234679E+004                  4.4849687489829213E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2656288848950776E-002                  3.2628954682884903E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7139940812003167E-001                  3.2628954682884903E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7139940812003167E-001                 -1.5211291264254947E-001                  7.0450987894923078E-001                 -1.5211291264254947E-001                 -4.6995919986900375E+001                 -9.8999999999999986E+001                 -1.5211291264254947E-001                  7.0450987894923078E-001                 -1.7297427347655037E-001                 -1.4809435169364722E+000                 -4.6995919986900375E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494592490496439E+000                 -1.4929160338523109E-001                 -5.0911138927405911E-002                  4.5398899051579447E+000                  0.0000000000000000E+000                  1.7166556226559759E+001                  1.9046632207166991E+000                  7.1339304104491772E+000                  6.2259309796051576E-001                  8.4850350464558466E-001                  1.3006312188012055E+000                  6.9698549874697757E-001                  2.8252245158471673E-001                  8.8158102071195623E-004                  9.3802687352418281E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953291508483284E-001                  2.8028772342635144E-001                                        0                                        2                  4.0000000000000000E+000                  9.4893730035234679E+004                  3.9999998960739256E+000                  1.5293898220247309E+001                  6.4480009107335846E+001                  1.2896001821467169E+002                  6.7293800253012295E+000                  4.9061008626631573E+000                 -7.5753311793637967E-001                 -8.1871895809505502E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569932622782E+052                 -7.8904723517793895E+031                  0.0000000000000000E+000                 -7.8904723517793895E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                     1563                  1.3155014557194529E+005                  4.5641499950305455E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.2354045810911815E-002                  3.2040909750881863E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7139938078851462E-001                  3.2040909750881863E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7139938078851462E-001                 -1.5228430882288954E-001                  7.0423189596046132E-001                 -1.5228430882288946E-001                 -4.6996537051361685E+001                 -9.8999999999999986E+001                 -1.5228430882288954E-001                  7.0423189596046132E-001                 -1.7312975887786311E-001                 -1.4814383804043032E+000                 -4.6996537051361685E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494601409946422E+000                 -1.4928636989310437E-001                 -5.0910306071339347E-002                  4.5398882394458111E+000                  0.0000000000000000E+000                  1.7166586503444215E+001                  1.9047073326299888E+000                  7.1339168132214796E+000                  6.2259412658558921E-001                  8.4850241640202506E-001                  1.3006340140808941E+000                  6.9698339691628641E-001                  2.8252454792100540E-001                  8.8020402247706068E-004                  9.3802684470948097E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953263624207873E-001                  2.8028794589127054E-001                                        0                                        2                  5.0000000000000000E+000                  1.3155014557194529E+005                  3.9999998559284142E+000                  1.5293898117917079E+001                  6.4480009323051107E+001                  1.2896001864610221E+002                  6.7293799802754952E+000                  4.9061008298368352E+000                 -7.5753511750619085E-001                 -8.1871860923514683E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569841346706E+052                 -7.8904725057633821E+031                  0.0000000000000000E+000                 -7.8904725057633821E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                     1563                  1.7553784421599802E+005                  4.6433312410781706E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.1954349093844682E-002                  3.0870660683216922E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7139983889883996E-001                  3.0870660683216922E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7139983889883996E-001                 -1.5246423660667158E-001                  7.0394019379726624E-001                 -1.5246423660667163E-001                 -4.6997300267304105E+001                 -1.5954589770191003E+001                 -1.5246423660667158E-001                  7.0394019379726624E-001                 -1.7328907887109887E-001                 -1.4820376421208203E+000                 -4.6997300267304105E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494614121370651E+000                 -1.4927878127328298E-001                 -5.0909054046274493E-002                  4.5398857353956821E+000                  0.0000000000000000E+000                  1.7166624755479003E+001                  1.9047627180421023E+000                  7.1338999435922474E+000                  6.2259536729909404E-001                  8.4850110546226665E-001                  1.3006373844853327E+000                  6.9698086183327546E-001                  2.8252706594652144E-001                  8.7853907828002549E-004                  9.3802680975983137E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953230152414125E-001                  2.8028821262464104E-001                                        0                                        2                  6.0000000000000000E+000                  1.7553784421599802E+005                  3.9999998077537975E+000                  1.5293897995120796E+001                  6.4480009581909428E+001                  1.2896001916381886E+002                  6.7293799262446097E+000                  4.9061007904452456E+000                 -7.5753513607318490E-001                 -8.1871808516378330E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569731815410E+052                 -7.8904726905441671E+031                  0.0000000000000000E+000                 -7.8904726905441671E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                     1563                  2.2832308258886132E+005                  4.7225124871257957E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.1475392081700179E-002                  3.0870660683216922E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7140066923947876E-001                  3.0870660683216922E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7140066923947876E-001                 -1.5262230428919071E-001                  7.0368403132463764E-001                 -1.5262230428919063E-001                 -4.6998210332962280E+001                 -9.8999999999999986E+001                 -1.5262230428919071E-001                  7.0368403132463764E-001                 -1.7341964214155961E-001                 -1.4827560410182494E+000                 -4.6998210332962280E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494631479493470E+000                 -1.4926825880070679E-001                 -5.0907264434549584E-002                  4.5398821561722320E+000                  0.0000000000000000E+000                  1.7166672677630366E+001                  1.9048311304525105E+000                  7.1338797556253359E+000                  6.2259686160072214E-001                  8.4849953316044668E-001                  1.3006414375802144E+000                  6.9697780824437516E-001                  2.8253006066698749E-001                  8.7654728812077537E-004                  9.3802676786164923E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953189975204033E-001                  2.8028853247558222E-001                                        0                                        2                  7.0000000000000000E+000                  2.2832308258886129E+005                  3.9999997499442586E+000                  1.5293897847765255E+001                  6.4480009892539414E+001                  1.2896001978507883E+002                  6.7293798614075468E+000                  4.9061007431753385E+000                 -7.5753224753564063E-001                 -8.1871733640117994E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569600377853E+052                 -7.8904729122811357E+031                  0.0000000000000000E+000                 -7.8904729122811357E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                     1563                  2.9166536863629724E+005                  4.8016937331734200E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.0900620003538052E-002                  3.0870660683216922E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7140190341222366E-001                  3.0870660683216922E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7140190341222366E-001                 -1.5274459417678077E-001                  7.0348591384853687E-001                 -1.5274459417678124E-001                 -4.6999303113864322E+001                 -1.5109491730176746E+001                 -1.5274459417678077E-001                  7.0348591384853687E-001                 -1.7350571389919270E-001                 -1.4836173403408570E+000                 -4.6999303113864322E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494654571058144E+000                 -1.4925402087535899E-001                 -5.0904763784811305E-002                  4.5398771548727552E+000                  0.0000000000000000E+000                  1.7166732202042475E+001                  1.9049153352001993E+000                  7.1338554220791579E+000                  6.2259866135779918E-001                  8.4849764753664014E-001                  1.3006463115369320E+000                  6.9697412999536434E-001                  2.8253362108400609E-001                  8.7416594468593201E-004                  9.3802671764335096E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953141752677128E-001                  2.8028891609864137E-001                                        0                                        2                  8.0000000000000000E+000                  2.9166536863629724E+005                  3.9999996805728082E+000                  1.5293897670938598E+001                  6.4480010265295434E+001                  1.2896002053059087E+002                  6.7293797836030693E+000                  4.9061006864514480E+000                 -7.5752536319116193E-001                 -8.1871629048407901E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569442652776E+052                 -7.8904731783655066E+031                  0.0000000000000000E+000                 -7.8904731783655066E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                     1563                  3.6767611189322040E+005                  4.8808749792210451E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.0319892076781998E-002                  2.9717934004575397E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7140361556322252E-001                  2.9717934004575397E-002                  3.9064780719272330E-008                  9.9999999996481226E-001                  9.7140361556322252E-001                 -1.5286592166158786E-001                  7.0328941064873585E-001                 -1.5286592166158811E-001                 -4.7000594320887636E+001                 -1.5352529778863040E+001                 -1.5286592166158786E-001                  7.0328941064873585E-001                 -1.7358222253721292E-001                 -1.4846549997116403E+000                 -4.7000594320887636E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494684912720158E+000                 -1.4923501499865804E-001                 -5.0901329178863933E-002                  4.5398702856608608E+000                  0.0000000000000000E+000                  1.7166805955049671E+001                  1.9050183896671509E+000                  7.1338265314016862E+000                  6.2260083807508926E-001                  8.4849536673780412E-001                  1.3006522077154385E+000                  6.9696968196073494E-001                  2.8253792595172667E-001                  8.7126234650772283E-004                  9.3802665604864541E-003                  3.4468833607860776E-003                  9.3805276451495324E-003                  6.9953083873866417E-001                  2.8028937621940547E-001                                        0                                        2                  9.0000000000000000E+000                  3.6767611189322034E+005                  3.9999995973270650E+000                  1.5293897458746603E+001                  6.4480010712602663E+001                  1.2896002142520533E+002                  6.7293796902376926E+000                  4.9061006183827764E+000                 -7.5751478332477618E-001                 -8.1871485428598390E-001                  2.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.0000000000000000E-001                  1.0000000000000000E+000                  2.7283569253382677E+052                 -7.8904734976667822E+031                  0.0000000000000000E+000                 -7.8904734976667822E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
