#options: 2126x1196 fps=16/1 timebase=1/16 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=37 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=16 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=810 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:34.59 aq:23.36 tex:1005618 mv:113569 misc:421 imb:9975 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:40.43 aq:35.37 tex:215402 mv:18001 misc:5165 imb:1768 pmb:1321 smb:6886 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:40.43 aq:42.59 tex:100002 mv:18253 misc:4977 imb:455 pmb:1971 smb:7549 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:40.43 aq:43.60 tex:89910 mv:16492 misc:4558 imb:378 pmb:1855 smb:7742 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:40.43 aq:43.75 tex:69818 mv:16591 misc:4431 imb:327 pmb:1701 smb:7947 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:40.59 aq:35.09 tex:199071 mv:17283 misc:4502 imb:1811 pmb:1171 smb:6993 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:40.51 aq:42.16 tex:86410 mv:18004 misc:4746 imb:339 pmb:1857 smb:7779 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:40.47 aq:42.19 tex:60182 mv:16374 misc:4396 imb:339 pmb:1590 smb:8046 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:40.55 aq:43.02 tex:51811 mv:14866 misc:4203 imb:266 pmb:1504 smb:8205 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:40.59 aq:36.33 tex:205947 mv:16309 misc:4704 imb:1111 pmb:1221 smb:7643 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:40.59 aq:41.74 tex:60549 mv:16638 misc:4325 imb:282 pmb:1617 smb:8076 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:40.59 aq:42.74 tex:45481 mv:13653 misc:4106 imb:191 pmb:1376 smb:8408 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:40.59 aq:42.51 tex:33714 mv:12383 misc:3951 imb:157 pmb:1265 smb:8553 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:40.59 aq:35.98 tex:173153 mv:14840 misc:4455 imb:901 pmb:1237 smb:7837 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:40.59 aq:42.76 tex:44837 mv:12719 misc:4076 imb:164 pmb:1409 smb:8402 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:40.59 aq:44.21 tex:37884 mv:11880 misc:3748 imb:173 pmb:1183 smb:8619 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:40.59 aq:41.91 tex:23066 mv:8433 misc:2669 imb:96 pmb:826 smb:9053 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:40.59 aq:35.94 tex:117402 mv:13104 misc:3918 imb:731 pmb:1129 smb:8115 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:40.59 aq:41.74 tex:38634 mv:11100 misc:3258 imb:95 pmb:1107 smb:8773 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:40.59 aq:43.68 tex:20396 mv:8044 misc:2672 imb:66 pmb:777 smb:9132 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:40.59 aq:44.41 tex:18697 mv:6834 misc:2613 imb:45 pmb:731 smb:9199 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:40.35 aq:37.95 tex:155945 mv:14834 misc:4101 imb:713 pmb:1373 smb:7889 d:- ref:0 ;
