                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260611"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2490                  2.2336262951081550E+004                  4.3490105136549007E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  3.0335133336994929E-001                  1.6625684008085484E-001                  7.8131226988187308E-008                  9.9999999938620199E-001                  9.9999999752481783E-001                  1.6625684008085484E-001                  7.8131226988187308E-008                  9.9999999938620199E-001                  9.9999999752481783E-001                  1.0686965266255883E+000                  1.1713765528772852E+001                  1.0686965266255883E+000                 -3.8599359482800374E+001                 -1.4750469787535078E+001                  1.0686965266255883E+000                  1.1713765528772852E+001                  8.7706645251606941E-001                  6.2107830246094742E-001                 -3.8599359482800374E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1675480899381538E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9228937637872918E+000                  1.0405752161654520E+000                  1.9715324137263923E-001                  4.3041569390958934E+000                  0.0000000000000000E+000                  1.7277227979294494E+001                  1.8429791335011099E+000                  7.3067166011471292E+000                  6.2245691754442878E-001                  8.4862994493473010E-001                  1.3003509745798398E+000                  6.9725701408416019E-001                  2.8217372835277310E-001                  3.3915646834192873E-005                  9.3149456741006952E-003                  3.4468833607860763E-003                  9.3805276451495428E-003                  1.2738670561858427E+000                  5.1072043300884418E-001                                        0                                        6 
                                       5                                      941                  1.6621753437676845E+005                  4.6657354978454002E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  2.0987942613067814E-001                  1.1319344709332996E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999792922800E-001                  1.1319344709332996E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999792922800E-001                  1.0238300287567739E+000                  1.0564039800368876E+001                  1.0238300287567736E+000                 -3.8590901812935471E+001                 -1.4449439791871097E+001                  1.0238300287567739E+000                  1.0564039800368876E+001                  8.2127300064560060E-001                  5.9524380729788307E-001                 -3.8590901812935471E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9459253695763326E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9231258472335413E+000                  1.0415724483966893E+000                  1.9718769059575872E-001                  4.3040880406496553E+000                  0.0000000000000000E+000                  1.7279461373467271E+001                  1.8450472468353813E+000                  7.3068924822809205E+000                  6.2247954826891494E-001                  8.4860520309254184E-001                  1.3004134882918077E+000                  6.9720816028361821E-001                  2.8222378861146630E-001                  2.8598446247089709E-005                  9.3133216182907895E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2738515523259795E+000                  5.1073439109971319E-001                                        0                                        3 
                                      10                                      933                  3.8874951100988017E+005                  4.5911376029239523E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  1.9695898602386980E-001                  1.0700356971983965E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999793737715E-001                  1.0700356971983965E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999793737715E-001                  1.0299275316535632E+000                  1.0713405215845718E+001                  1.0299275316535632E+000                 -3.8567059410565939E+001                 -9.8999999999999986E+001                  1.0299275316535632E+000                  1.0713405215845718E+001                  8.2964545319008587E-001                  5.9748594778553754E-001                 -3.8567059410565939E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9443641209942766E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9237775006866245E+000                  1.0444111402360452E+000                  1.9730372960927070E-001                  4.3038559626226309E+000                  0.0000000000000000E+000                  1.7282890596616561E+001                  1.8480880370114106E+000                  7.3072975142993215E+000                  6.2251528632513087E-001                  8.4856563448549127E-001                  1.3005137395567039E+000                  6.9712907847312067E-001                  2.8230322551794507E-001                  2.7698314387965122E-005                  9.3106103611063917E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2738276145314729E+000                  5.1075614957402193E-001                                        0                                        3 
                                      15                                      932                  6.4047404450961563E+005                  4.7394203402265909E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  1.9758251107186012E-001                  1.0700356971983965E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999794571115E-001                  1.0700356971983965E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999794571115E-001                  1.0362042711216621E+000                  1.0869367458846872E+001                  1.0362042711216617E+000                 -3.8537874477828680E+001                 -1.4051499783199059E+001                  1.0362042711216621E+000                  1.0869367458846872E+001                  8.3467716049879037E-001                  6.0587938539567965E-001                 -3.8537874477828680E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9705246637291295E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9244379947585379E+000                  1.0471088413093379E+000                  1.9733159200209127E-001                  4.3038002378369900E+000                  0.0000000000000000E+000                  1.7285228200968881E+001                  1.8498836190390391E+000                  7.3078614813859613E+000                  6.2255574427594262E-001                  8.4851980320069331E-001                  1.3006298377344248E+000                  6.9703743509159555E-001                  2.8239532877468082E-001                  2.7719528870264030E-005                  9.3074201591014163E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2738002783068629E+000                  5.1078131289336959E-001                                        0                                        3 
                                      20                                      932                  1.0379667450222924E+006                  5.0283925779852003E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  2.0170734748855798E-001                  1.1009166006925070E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999795910610E-001                  1.1009166006925070E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999795910610E-001                  1.0427059688401874E+000                  1.1033313765871078E+001                  1.0427059688401874E+000                 -3.8502661267082452E+001                 -1.4273348532815415E+001                  1.0427059688401874E+000                  1.1033313765871078E+001                  8.3937145083991693E-001                  6.1542496366919064E-001                 -3.8502661267082452E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0110327990206664E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9250456419173529E+000                  1.0485417843333769E+000                  1.9683276919647932E-001                  4.3047978834482139E+000                  0.0000000000000000E+000                  1.7286818793228633E+001                  1.8507913024110432E+000                  7.3085835649030200E+000                  6.2261901418803889E-001                  8.4844844137333564E-001                  1.3008106721010717E+000                  6.9689471435388384E-001                  2.8253868693397144E-001                  2.7767899656394335E-005                  9.3024552889390839E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2737564886878396E+000                  5.1082179025758934E-001                                        0                                        3 
                                      25                                      931                  1.9027421553593082E+006                  5.2482075491676428E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  2.1990580644789945E-001                  1.1865153857702443E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999797833761E-001                  1.1865153857702443E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999797833761E-001                  1.0453346714076357E+000                  1.1100298852150884E+001                  1.0453346714076357E+000                 -3.8475089842738036E+001                 -9.8999999999999986E+001                  1.0453346714076357E+000                  1.1100298852150884E+001                  8.4166895240232209E-001                  6.1860777556188329E-001                 -3.8475089842738036E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0514665546122242E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9250424248756643E+000                  1.0458586497601758E+000                  1.9549763599325543E-001                  4.3074681498546612E+000                  0.0000000000000000E+000                  1.7286878765258692E+001                  1.8503520949955854E+000                  7.3091739699550642E+000                  6.2275186511143044E-001                  8.4830507525668364E-001                  1.3011741660547915E+000                  6.9660795661513197E-001                  2.8282658673426525E-001                  2.7806377053615687E-005                  9.2927450428656241E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2736601817954911E+000                  5.1091122827258950E-001                                        0                                        4 
                                      30                                      931                  3.0939214238444841E+006                  5.5210357882876275E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  2.1328700732890141E-001                  1.1319344709332974E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999798428085E-001                  1.1319344709332974E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999798428085E-001                  1.0442506451763218E+000                  1.1072626361388689E+001                  1.0442506451763216E+000                 -3.8461048507071823E+001                 -1.4449439791871097E+001                  1.0442506451763218E+000                  1.1072626361388689E+001                  8.4135894851597226E-001                  6.1622701816703973E-001                 -3.8461048507071823E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0534771885619963E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9249604136338654E+000                  1.0445784626897034E+000                  1.9502156494161729E-001                  4.3084202919579377E+000                  0.0000000000000000E+000                  1.7286860797814796E+001                  1.8502045601385455E+000                  7.3094464495327651E+000                  6.2295788374392969E-001                  8.4808824576722508E-001                  1.3017242011805588E+000                  6.9617433643578330E-001                  2.8326226197021342E-001                  2.7991110957833091E-005                  9.2774820915906536E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2735274957843730E+000                  5.1103507433013851E-001                                        0                                        5 
                                      35                                      931                  6.0579566212015152E+006                  5.9169420185257522E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  2.1953344176693956E-001                  1.1865153857702443E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999798799266E-001                  1.1865153857702443E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999798799266E-001                  1.0441934101884334E+000                  1.1071167213497066E+001                  1.0441934101884338E+000                 -3.8435099945489348E+001                 -9.8999999999999986E+001                  1.0441934101884334E+000                  1.1071167213497066E+001                  8.4303328209656669E-001                  6.1324631338424807E-001                 -3.8435099945489348E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0790491971686424E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9249973576955974E+000                  1.0442695714953412E+000                  1.9479323122097350E-001                  4.3088769593992255E+000                  0.0000000000000000E+000                  1.7286943904294358E+001                  1.8501634037247818E+000                  7.3099197035149786E+000                  6.2346105751664882E-001                  8.4756068878275270E-001                  1.3030645256033428E+000                  6.9511922274211513E-001                  2.8432200514543327E-001                  2.8192692574337727E-005                  9.2407216212896381E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2731981898788560E+000                  5.1134640895210126E-001                                        0                                        5 
                                      40                                      931                  1.2905804845242551E+007                  6.1839961491937876E+000                  1.8213599999999999E+000                  3.3558901704898709E+001                 -9.8999999999999986E+001                  2.2423284461007514E-001                  1.2297807908077701E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999798558381E-001                  1.2297807908077701E-001                  7.8131225045297015E-008                  9.9999999930495065E-001                  9.9999999798558381E-001                  1.0445504091381521E+000                  1.1080271680977434E+001                  1.0445504091381517E+000                 -3.8400273495415178E+001                 -1.4051499783199059E+001                  1.0445504091381521E+000                  1.1080271680977434E+001                  8.4402231811058182E-001                  6.1252837553576811E-001                 -3.8400273495415178E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1070968291992232E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9248866398100977E+000                  1.0443321555172771E+000                  1.9504595900293947E-001                  4.3083715038352937E+000                  0.0000000000000000E+000                  1.7286593355090869E+001                  1.8500581603156414E+000                  7.3104716828600926E+000                  6.2460841063997830E-001                  8.4636503521755602E-001                  1.3061125321482967E+000                  6.9272792426158902E-001                  2.8672366645101571E-001                  2.8616277612793138E-005                  9.1586043239009294E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2724394132729757E+000                  5.1207564045719067E-001                                        0                                        5 
