                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260616"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                    4765                                     1006                  1.0212163636182311E+009                  4.9002369431174122E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.2746114626790476E-001                  1.2476777397596947E-001                  8.5792180550600674E-008                  1.2656658954269018E-001                  1.2577228443597502E-001                  1.2476777397596947E-001                  8.5792180550600674E-008                  1.2656658954269018E-001                  1.2577228443597502E-001                  1.0621421034300484E+000                  1.1538307355237656E+001                  1.0621421034300484E+000                 -3.8073300192949567E+001                 -9.8999999999999986E+001                  1.0621421034300484E+000                  1.1538307355237656E+001                  8.3834807234491360E-001                  6.6710377653501307E-001                 -3.8073300192949567E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1410407920770052E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9321617636090007E+000                  1.0617604753208776E+000                  1.8920987130693509E-001                  4.3200450042862979E+000                  0.0000000000000000E+000                  1.7285378221829895E+001                  1.8548324222963251E+000                  7.3148705145700008E+000                  6.3971307650204678E-001                  8.3097973176771134E-001                  1.3466986645914836E+000                  6.6195759513687447E-001                  3.1750929623944224E-001                  2.9669798542497070E-005                  9.0442698173731923E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2551893698324732E+000                  5.2895922600876799E-001                                       41                                        4 
                                    4770                                      995                  1.0219260794795853E+009                  5.2961431733555360E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.2760558128190406E-001                  1.2476777397596947E-001                  8.5792180550600674E-008                  1.2656658954269018E-001                  1.2572240350616265E-001                  1.2476777397596947E-001                  8.5792180550600674E-008                  1.2656658954269018E-001                  1.2572240350616265E-001                  1.0621619598057666E+000                  1.1538834910187507E+001                  1.0621619598057666E+000                 -3.8071217751791032E+001                 -9.8999999999999986E+001                  1.0621619598057666E+000                  1.1538834910187507E+001                  8.3816003256992455E-001                  6.6743183295090425E-001                 -3.8071217751791032E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1418866239113686E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9321347624413110E+000                  1.0618214204290279E+000                  1.8929434619638882E-001                  4.3198760545073904E+000                  0.0000000000000000E+000                  1.7285292042703780E+001                  1.8548152646489058E+000                  7.3148952459285690E+000                  6.3985059106781439E-001                  8.3084272969748929E-001                  1.3470708868579793E+000                  6.6168359286628387E-001                  3.1778458062317427E-001                  2.9722129744785090E-005                  9.0341275636752292E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2551077998379041E+000                  5.2903913923269286E-001                                       41                                        5 
                                    4775                                      990                  1.0236920796517106E+009                  5.6920494035936606E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.2799473685844518E-001                  1.2476777397596975E-001                  8.5792180828156430E-008                  1.2656658954269018E-001                  1.2542247124699971E-001                  1.2476777397596975E-001                  8.5792180828156430E-008                  1.2656658954269018E-001                  1.2542247124699971E-001                  1.0622762129124377E+000                  1.1541870917366548E+001                  1.0622762129124375E+000                 -3.8065983610203133E+001                 -1.4449439791871097E+001                  1.0622762129124377E+000                  1.1541870917366548E+001                  8.3770172403251442E-001                  6.6839300271417179E-001                 -3.8065983610203133E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1440264832721208E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9320623050936989E+000                  1.0619273197769878E+000                  1.8949221056559276E-001                  4.3194803257689820E+000                  0.0000000000000000E+000                  1.7285080423709879E+001                  1.8547747277235374E+000                  7.3149578709164675E+000                  6.4019352693815779E-001                  8.3050129530816208E-001                  1.3479994334771188E+000                  6.6100072877859573E-001                  3.1847063080958193E-001                  2.9851761300457058E-005                  9.0089241991763627E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2549048302371169E+000                  5.2923821195421117E-001                                       41                                        5 
                                    4780                                      985                  1.0280864532000138E+009                  6.0879556338317844E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.2881412489478523E-001                  1.2549516402550639E-001                  8.5792180772645279E-008                  9.9999999937125794E-001                  9.9999999799874251E-001                  1.2549516402550639E-001                  8.5792180772645279E-008                  9.9999999937125794E-001                  9.9999999799874251E-001                  1.0626109785893789E+000                  1.1550771126654922E+001                  1.0626109785893787E+000                 -3.8055682187545138E+001                 -1.4449439791871097E+001                  1.0626109785893789E+000                  1.1550771126654922E+001                  8.3664245887657274E-001                  6.7077826294992904E-001                 -3.8055682187545138E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1497322680496786E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9318943338730268E+000                  1.0622414291780709E+000                  1.8998520770747820E-001                  4.3184943314852111E+000                  0.0000000000000000E+000                  1.7284557790702870E+001                  1.8545992357948946E+000                  7.3150822961832569E+000                  6.4088577164106586E-001                  8.2981311305493510E-001                  1.3498744969096517E+000                  6.5962437164280252E-001                  3.1985423248720446E-001                  3.0141952879344794E-005                  8.9515321120007280E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2543997353033527E+000                  5.2973479485498620E-001                                       41                                        5 
                                    4785                                      978                  1.0390210607877274E+009                  6.4838618640699082E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.3086033169199793E-001                  1.2656658954269018E-001                  8.5792180800400855E-008                  9.9999999935905093E-001                  9.9999999797883443E-001                  1.2656658954269018E-001                  8.5792180800400855E-008                  9.9999999935905093E-001                  9.9999999797883443E-001                  1.0634708744377852E+000                  1.1573664117696422E+001                  1.0634708744377848E+000                 -3.8029575162031861E+001                 -1.4051499783199059E+001                  1.0634708744377852E+000                  1.1573664117696422E+001                  8.3334918610285558E-001                  6.7765208916938569E-001                 -3.8029575162031861E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1593351987028973E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9314172295929355E+000                  1.0630954334333651E+000                  1.9136641839530974E-001                  4.3157319101095482E+000                  0.0000000000000000E+000                  1.7283221284287908E+001                  1.8543692859562400E+000                  7.3153530243709453E+000                  6.4291189726804576E-001                  8.2780928016008737E-001                  1.3553652406113259E+000                  6.5561672376942159E-001                  3.2388046885599964E-001                  3.0880617900126175E-005                  8.8042390850625110E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2531419256666039E+000                  5.3097638717649587E-001                                       41                                        5 
                                    4790                                      972                  1.0544262174931678E+009                  6.5065039732724959E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.3273996118173759E-001                  1.2656658954269023E-001                  8.5792180855912006E-008                  9.9999999932975403E-001                  9.9999999794380467E-001                  1.2656658954269023E-001                  8.5792180855912006E-008                  9.9999999932975403E-001                  9.9999999794380467E-001                  1.0648436546942537E+000                  1.1610305694842493E+001                  1.0648436546942539E+000                 -3.7995499405754444E+001                 -9.8999999999999986E+001                  1.0648436546942537E+000                  1.1610305694842493E+001                  8.2838886561624814E-001                  6.8793102147201468E-001                 -3.7995499405754444E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1670095828135124E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9307469762626095E+000                  1.0644727537165397E+000                  1.9339558519754829E-001                  4.3116735765050711E+000                  0.0000000000000000E+000                  1.7281424917656590E+001                  1.8541393454120099E+000                  7.3156895460504154E+000                  6.4572197313695634E-001                  8.2505159744135315E-001                  1.3629953757625979E+000                  6.5010138804263229E-001                  3.2942073413436640E-001                  3.1877032773718398E-005                  8.6068442822323475E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2513662426330050E+000                  5.3273592291589278E-001                                       41                                        5 
                                    4795                                      976                  1.0695193278074267E+009                  6.4158855972810054E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.3292303327350647E-001                  1.2656658954269023E-001                  8.5792180855912006E-008                  9.9999999932975403E-001                  9.9999999790528893E-001                  1.2656658954269023E-001                  8.5792180855912006E-008                  9.9999999932975403E-001                  9.9999999790528893E-001                  1.0662179782859742E+000                  1.1647104666969776E+001                  1.0662179782859742E+000                 -3.7960511525654425E+001                 -1.4750469787535078E+001                  1.0662179782859742E+000                  1.1647104666969776E+001                  8.2301950174995098E-001                  6.9845500464751609E-001                 -3.7960511525654425E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1705637079656657E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9300397556757560E+000                  1.0658248209209717E+000                  1.9548605997347029E-001                  4.3074926269532270E+000                  0.0000000000000000E+000                  1.7279644819523075E+001                  1.8540826132748514E+000                  7.3160187407725159E+000                  6.4876762268580390E-001                  8.2209104475875572E-001                  1.3712837976544310E+000                  6.4418031619927973E-001                  3.3536693247327976E-001                  3.2885564226846818E-005                  8.4079815505685353E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2496213357717465E+000                  5.3446918121450393E-001                                       41                                        5 
                                    4800                                      977                  1.0843975486466446E+009                  6.4824829535975903E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.3309579350094548E-001                  1.2656658954269023E-001                  8.5792180855912006E-008                  1.3094815718769343E-001                  1.2997083188304198E-001                  1.2656658954269023E-001                  8.5792180855912006E-008                  1.3094815718769343E-001                  1.2997083188304198E-001                  1.0676221235901187E+000                  1.1684822608305108E+001                  1.0676221235901189E+000                 -3.7926073485474433E+001                 -9.8999999999999986E+001                  1.0676221235901187E+000                  1.1684822608305108E+001                  8.1767060093741151E-001                  7.0869536881785988E-001                 -3.7926073485474433E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1730877241613134E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9293437851316333E+000                  1.0672294717847286E+000                  1.9758032649359422E-001                  4.3033040939129794E+000                  0.0000000000000000E+000                  1.7277958563795920E+001                  1.8541065654647524E+000                  7.3163473213059929E+000                  6.5180841813404822E-001                  8.1916405430706762E-001                  1.3795783657321004E+000                  6.3832636820956568E-001                  3.4124485682681066E-001                  3.3851311887164876E-005                  8.2182482314735010E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2478957997893743E+000                  5.3618571159854989E-001                                       41                                        5 
                                    4805                                      981                  1.1004484934177403E+009                  6.4503158583397822E+000                  1.8213655570891047E+000                  3.3558903029957705E+001                 -9.8999999999999986E+001                  2.3370337139991207E-001                  1.2802756564403045E-001                  8.5792180855912006E-008                  9.9999999930289851E-001                  9.9999999782682425E-001                  1.2802756564403045E-001                  8.5792180855912006E-008                  9.9999999930289851E-001                  9.9999999782682425E-001                  1.0692772093170027E+000                  1.1729438143948986E+001                  1.0692772093170024E+000                 -3.7891407537053823E+001                 -1.4273348532815415E+001                  1.0692772093170027E+000                  1.1729438143948986E+001                  8.1241157426094612E-001                  7.1907792038018747E-001                 -3.7891407537053823E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1776188812814912E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9286557801345570E+000                  1.0688857848019437E+000                  1.9978449299635526E-001                  4.2988957609074570E+000                  0.0000000000000000E+000                  1.7276310498328492E+001                  1.8540857110595366E+000                  7.3167041700352362E+000                  6.5478303258817450E-001                  8.1632803442359514E-001                  1.3877116388817303E+000                  6.3265435872661957E-001                  3.4693963690255580E-001                  3.4772552234336579E-005                  8.0380386310556651E-003                  1.9322406319283298E-003                  8.9478372362877447E-003                  1.2460273753058566E+000                  5.3804635872214368E-001                                       41                                        5 
