                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260701"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2490                  2.2013359528652651E+004                  4.3426863266704210E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  3.0316851524166932E-001                  1.6544412750194004E-001                  7.8131226988187308E-008                  9.9999999938620199E-001                  9.9999999758029057E-001                  1.6544412750194004E-001                  7.8131226988187308E-008                  9.9999999938620199E-001                  9.9999999758029057E-001                  1.0762605576857194E+000                  1.1919569155421872E+001                  1.0762605576857198E+000                 -3.8549392417167262E+001                 -9.8999999999999986E+001                  1.0762605576857194E+000                  1.1919569155421872E+001                  8.8015897205215221E-001                  6.3658980306552371E-001                 -3.8549392417167262E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1979987814043189E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9250439877361361E+000                  1.0510928655927043E+000                  1.9811161818857742E-001                  4.3047698602578093E+000                  0.0000000000000000E+000                  1.7276212306574692E+001                  1.8408026435214064E+000                  7.3078787011085975E+000                  6.2245922617479166E-001                  8.4862030999368476E-001                  1.3003752871185337E+000                  6.9723781832923193E-001                  2.8219329554530137E-001                  3.3209013236934782E-005                  9.3128110461810649E-003                  3.4468833607860763E-003                  9.3805276451495428E-003                  1.2813050814701070E+000                  5.1370710199626124E-001                                        0                                        5 
                                       5                                      941                  1.6381461626842155E+005                  4.6594113108609196E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.1294932426526544E-001                  1.1397137307005584E-001                  7.8131225267341620E-008                  9.9999999930495087E-001                  9.9999999796382366E-001                  1.1397137307005584E-001                  7.8131225267341620E-008                  9.9999999930495087E-001                  9.9999999796382366E-001                  1.0346941689403066E+000                  1.0831638791750763E+001                  1.0346941689403069E+000                 -3.8540666217471866E+001                 -9.8999999999999986E+001                  1.0346941689403066E+000                  1.0831638791750763E+001                  8.2722206468741022E-001                  6.1425544256072873E-001                 -3.8540666217471866E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9928987301951669E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9252803510047389E+000                  1.0521071445541574E+000                  1.9814603113209758E-001                  4.3047010343707690E+000                  0.0000000000000000E+000                  1.7278379704472073E+001                  1.8428307160867441E+000                  7.3080288772959197E+000                  6.2248176593379434E-001                  8.4859554381030489E-001                  1.3004378480396781E+000                  6.9718887684370501E-001                  2.8224344440037102E-001                  2.8568349774639999E-005                  9.3111456863572487E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2812894283482028E+000                  5.1372122508131424E-001                                        0                                        3 
                                      10                                      932                  5.7143780222146027E+005                  5.0553175410990443E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.0044483375054056E-001                  1.0777472638660407E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999797580652E-001                  1.0777472638660407E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999797580652E-001                  1.0454816847947892E+000                  1.1104057059631065E+001                  1.0454816847947892E+000                 -3.8495782416011465E+001                 -9.8999999999999986E+001                  1.0454816847947892E+000                  1.1104057059631065E+001                  8.3907453333832760E-001                  6.2329833544955959E-001                 -3.8495782416011465E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0119665298557400E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9263935909676171E+000                  1.0567994729679002E+000                  1.9826571541321214E-001                  4.3044616658085397E+000                  0.0000000000000000E+000                  1.7283370521431515E+001                  1.8470383249360025E+000                  7.3088453095259585E+000                  6.2254722489931846E-001                  8.4852085685801915E-001                  1.3006270496315593E+000                  6.9703957141886308E-001                  2.8239349220049370E-001                  2.7838216188585791E-005                  9.3058766861631743E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  1.2812442465164644E+000                  5.1376257076798149E-001                                        0                                        3 
                                      15                                      932                  1.5857347282921253E+006                  5.4512237713371681E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.0944046623184046E-001                  1.1397137307005584E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999800240003E-001                  1.1397137307005584E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999800240003E-001                  1.0551066845967181E+000                  1.1352896657385292E+001                  1.0551066845967179E+000                 -3.8434874154363207E+001                 -1.4750469787535078E+001                  1.0551066845967181E+000                  1.1352896657385292E+001                  8.4589144886614542E-001                  6.3749940888209100E-001                 -3.8434874154363207E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.0806555025474033E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9271720965476575E+000                  1.0571700678845801E+000                  1.9689400171147231E-001                  4.3072050932120201E+000                  0.0000000000000000E+000                  1.7285576495650563E+001                  1.8480948418606344E+000                  7.3101026252091854E+000                  6.2271284131073501E-001                  8.4833612189191587E-001                  1.3010952597967278E+000                  6.9667011238074217E-001                  2.8276464888482228E-001                  2.7977724225266936E-005                  9.2927429852788946E-003                  3.4468833607860755E-003                  9.3805276451495410E-003                  1.2811291481299525E+000                  5.1386921846270772E-001                                        0                                        5 
                                      20                                      932                  4.1096300553722815E+006                  5.8471300015752918E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.1966815525123992E-001                  1.1708938180026612E-001                  7.8131225267341620E-008                  9.9999999932370076E-001                  9.9999999801600548E-001                  1.1708938180026612E-001                  7.8131225267341620E-008                  9.9999999932370076E-001                  9.9999999801600548E-001                  1.0545607888455315E+000                  1.1338635355666014E+001                  1.0545607888455315E+000                 -3.8404646391693511E+001                 -9.8999999999999986E+001                  1.0545607888455315E+000                  1.1338635355666014E+001                  8.4732636290894403E-001                  6.3373367141908488E-001                 -3.8404646391693511E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1123155509747808E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9270563341115827E+000                  1.0548047278627943E+000                  1.9594285657272856E-001                  4.3091073834895068E+000                  0.0000000000000000E+000                  1.7285461074402441E+001                  1.8476838974542071E+000                  7.3106955635944368E+000                  6.2314170809490421E-001                  8.4788339284922454E-001                  1.3022441627065391E+000                  6.9576465554027300E-001                  2.8367415572844329E-001                  2.8187558895013341E-005                  9.2606526175361970E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  1.2808413913369221E+000                  5.1413898826604365E-001                                        0                                        5 
                                      25                                      932                  1.0389889275652375E+007                  6.2430362318134165E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.2589947007471331E-001                  1.2257480927000880E-001                  7.8131225267341620E-008                  9.9999999932370076E-001                  9.9999999801776707E-001                  1.2257480927000880E-001                  7.8131225267341620E-008                  9.9999999932370076E-001                  9.9999999801776707E-001                  1.0547908503588195E+000                  1.1344643432604339E+001                  1.0547908503588195E+000                 -3.8365346252262803E+001                 -1.4449439791871097E+001                  1.0547908503588195E+000                  1.1344643432604339E+001                  8.4905457308323851E-001                  6.3150264657102073E-001                 -3.8365346252262803E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1469023773169989E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9270035748912120E+000                  1.0546169965938357E+000                  1.9595450937899064E-001                  4.3090840778769834E+000                  0.0000000000000000E+000                  1.7285260591027281E+001                  1.8475635868006441E+000                  7.3113588558957581E+000                  6.2421230048565468E-001                  8.4676397525730940E-001                  1.3050937033973262E+000                  6.9352583025113368E-001                  2.8592292216074627E-001                  2.8606390857100527E-005                  9.1819193874426285E-003                  3.4468833607860755E-003                  9.3805276451495410E-003                  1.2801278183019300E+000                  5.1482118057159343E-001                                        0                                        5 
                                      30                                      932                  2.6017183898659728E+007                  6.6389424620515403E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.3251280287142012E-001                  1.2257480927000880E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999799935890E-001                  1.2257480927000880E-001                  7.8131225267341620E-008                  9.9999999930495076E-001                  9.9999999799935890E-001                  1.0559179721232399E+000                  1.1374124354337749E+001                  1.0559179721232397E+000                 -3.8311834077782734E+001                 -1.4449439791871097E+001                  1.0559179721232399E+000                  1.1374124354337749E+001                  8.4670096338782164E-001                  6.3831356124380878E-001                 -3.8311834077782734E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1674529089124509E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9264898311870660E+000                  1.0555858261719047E+000                  1.9746641157631678E-001                  4.3060602734823306E+000                  0.0000000000000000E+000                  1.7283823123561245E+001                  1.8473910354468801E+000                  7.3120293172197366E+000                  6.2699901771182509E-001                  8.4387682009086107E-001                  1.3125010966988160E+000                  6.8775156741083887E-001                  2.9172263612174543E-001                  2.9654032948913767E-005                  8.9808471003673118E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  1.2783563698095555E+000                  5.1654720798016940E-001                                        0                                        5 
                                      35                                      933                  6.4902893654981382E+007                  7.0348486922896640E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.3675748388819215E-001                  1.2730461958452982E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999793186467E-001                  1.2730461958452982E-001                  7.8131225267341620E-008                  9.9999999927370076E-001                  9.9999999793186467E-001                  1.0595788618068973E+000                  1.1470407890854364E+001                  1.0595788618068971E+000                 -3.8213611345184113E+001                 -1.4051499783199059E+001                  1.0595788618068973E+000                  1.1470407890854364E+001                  8.3633140293131081E-001                  6.6372850671931283E-001                 -3.8213611345184113E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1872893666236107E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9249616881569880E+000                  1.0592152396257604E+000                  2.0233740436340159E-001                  4.2963182879081616E+000                  0.0000000000000000E+000                  1.7279926491457509E+001                  1.8472960334333464E+000                  7.3129948693957445E+000                  6.3390093388305568E-001                  8.3682529973017450E-001                  1.3309530712726936E+000                  6.7364860361542023E-001                  3.0588346543069000E-001                  3.1952276233746579E-005                  8.5228335394344264E-003                  3.4468833607860755E-003                  9.3805276451495410E-003                  1.2739351173651670E+000                  5.2091317194421927E-001                                        0                                        5 
                                      40                                      930                  1.4200192892042452E+008                  7.1514115519339141E+000                  1.8319999999999999E+000                  3.3561431379692500E+001                 -9.8999999999999986E+001                  2.3960947440036731E-001                  1.3047598714907410E-001                  7.8131225045297015E-008                  9.9999999923620064E-001                  9.9999999775219539E-001                  1.3047598714907410E-001                  7.8131225045297015E-008                  9.9999999923620064E-001                  9.9999999775219539E-001                  1.0675138731353457E+000                  1.1681910460472750E+001                  1.0675138731353455E+000                 -3.8024026935190342E+001                 -1.4148409796207115E+001                  1.0675138731353457E+000                  1.1681910460472750E+001                  8.1293286431955980E-001                  7.1446543347254177E-001                 -3.8024026935190342E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2031457343259700E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9217579787106036E+000                  1.0671818796777819E+000                  2.1272814328218084E-001                  4.2755368100706024E+000                  0.0000000000000000E+000                  1.7272737564243268E+001                  1.8481752046210176E+000                  7.3148691809375164E+000                  6.4852080742736140E-001                  8.2234619986682544E-001                  1.3705217347919088E+000                  6.4469056855837337E-001                  3.3494764181445302E-001                  3.6227671922077430E-005                  7.6833555249287457E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  1.2650526611566069E+000                  5.2974651950423901E-001                                        0                                        5 
