                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260615"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     2490                  9.1952808781358011E-005                 -4.0364350003072094E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  2.9155683915701130E-001                  1.6625684008085484E-001                  7.8131226988187308E-008                  9.9999999932370198E-001                  9.9999999711579779E-001                  1.6625684008085484E-001                  7.8131226988187308E-008                  9.9999999932370198E-001                  9.9999999711579779E-001                  9.6339145648720348E-001                  9.1916071963510682E+000                  9.6339145648720392E-001                 -3.8941661583341713E+001                 -9.8999999999999986E+001                  9.6339145648720348E-001                  9.1916071963510682E+000                  8.0185274037002352E-001                  4.5561509212987333E-001                 -3.8941661583341713E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6301126333475235E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9067615039206509E+000                  9.6287423586515775E-001                  1.9056727095577389E-001                  4.2999711340778797E+000                  0.0000000000000000E+000                  1.7285574111834194E+001                  1.8594297891532239E+000                  7.2986961916118993E+000                  6.2259423181859908E-001                  8.4849974905019077E-001                  1.3006817568789411E+000                  6.9699685954806101E-001                  2.8243300031826235E-001                  2.6701630207452989E-005                  9.3180811484228927E-003                  3.4468833607860763E-003                  9.3805276451495428E-003                  1.2239835827675625E+000                  4.9068755931295172E-001                                       28                                       10 
                                       5                                      925                  6.8427602182735388E-004                 -3.7197100161167098E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  5.5732542801696046E-002                  9.0293951382317272E-002                  4.1587096096892345E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.0293951382317272E-002                  4.1587096096892345E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.6365170276986389E-001                  9.1971168184207936E+000                  9.6365170276986400E-001                 -3.8941536416830402E+001                 -9.8999999999999986E+001                  9.6365170276986389E-001                  9.1971168184207936E+000                  8.0218238665787167E-001                  4.5572127167623167E-001                 -3.8941536416830402E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6712391358375154E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9089110834655001E+000                  9.7152863499980757E-001                  1.9059531143340094E-001                  4.2999150531226258E+000                  0.0000000000000000E+000                  1.7285786041465133E+001                  1.8595780638033252E+000                  7.2987592349761883E+000                  6.2259419818388007E-001                  8.4849978200816234E-001                  1.3006816735646018E+000                  6.9699692522511547E-001                  2.8243293364076616E-001                  2.6701339210034929E-005                  9.3180830271388342E-003                  3.4468833607860763E-003                  9.3805276451495393E-003                  1.2239835827674963E+000                  4.9068755931299690E-001                                       28                                       10 
                                      10                                      925                  2.3869737324607944E-003                 -3.3238037858785860E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  5.5732542801696046E-002                  9.0293951382317272E-002                  3.6939518519300739E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.0293951382317272E-002                  3.6939518519300739E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.6370464779208320E-001                  9.1982381111321398E+000                  9.6370464779208320E-001                 -3.8941537871418518E+001                 -1.4750469787535078E+001                  9.6370464779208320E-001                  9.1982381111321398E+000                  8.0226230057954828E-001                  4.5571432484278818E-001                 -3.8941537871418518E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6751926970019158E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9089457085908359E+000                  9.7166386884774580E-001                  1.9059367810669839E-001                  4.2999183197760305E+000                  0.0000000000000000E+000                  1.7285786041303339E+001                  1.8595780651625924E+000                  7.2987592318112871E+000                  6.2259419582143871E-001                  8.4849978447492724E-001                  1.3006816673287527E+000                  6.9699693014091546E-001                  2.8243292865058861E-001                  2.6701317519523617E-005                  9.3180831677381441E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2239835827673466E+000                  4.9068755931314378E-001                                       28                                       10 
                                      15                                      925                  6.6238304997841965E-003                 -2.9278975556404618E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  5.5732542801696046E-002                  9.0293951382317272E-002                  3.5094100088725780E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.0293951382317272E-002                  3.5094100088725780E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.6372300546143730E-001                  9.1986269297559016E+000                  9.6372300546143719E-001                 -3.8941538429763540E+001                 -1.4750469787535078E+001                  9.6372300546143730E-001                  9.1986269297559016E+000                  8.0229001766533425E-001                  4.5571189455463951E-001                 -3.8941538429763540E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6755524604608728E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9085306265016593E+000                  9.6997543894472182E-001                  1.9057962733353950E-001                  4.2999464213223479E+000                  0.0000000000000000E+000                  1.7285786040922336E+001                  1.8595780645349969E+000                  7.2987592320532544E+000                  6.2259419581341002E-001                  8.4849978448312957E-001                  1.3006816673077248E+000                  6.9699693015759301E-001                  2.8243292863468861E-001                  2.6701317599852231E-005                  9.3180831681811769E-003                  3.4468833607860763E-003                  9.3805276451495393E-003                  1.2239835827669725E+000                  4.9068755931350849E-001                                       28                                       10 
                                      20                                      925                  1.7166485931050364E-002                 -2.5319913254023376E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  1.6063597500131988E-001                  9.0293951382317272E-002                  7.8131224379163200E-008                  9.9999999921120009E-001                  9.9999999766873504E-001                  9.0293951382317272E-002                  7.8131224379163200E-008                  9.9999999921120009E-001                  9.9999999766873504E-001                  9.6376282117692136E-001                  9.1994702900037986E+000                  9.6376282117692114E-001                 -3.8941543541796328E+001                 -1.4449439791871097E+001                  9.6376282117692136E-001                  9.1994702900037986E+000                  8.0235029102435418E-001                  4.5570626730299307E-001                 -3.8941543541796328E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6751759205812493E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9081428276092560E+000                  9.6839828972225217E-001                  1.9056665050711158E-001                  4.2999723749752041E+000                  0.0000000000000000E+000                  1.7285786040418998E+001                  1.8595780649824483E+000                  7.2987591477836240E+000                  6.2259407613049045E-001                  8.4849990945089049E-001                  1.3006813514012030E+000                  6.9699717918903381E-001                  2.8243267581700504E-001                  2.6700216062251320E-005                  9.3180902914497474E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2239835827660388E+000                  4.9068755931441765E-001                                       28                                       10 
                                      25                                      925                  4.3399986293778586E-002                 -2.1360850951642139E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  1.6063597500131988E-001                  9.0293951382317272E-002                  7.8131224379163200E-008                  9.9999999921120009E-001                  9.9999999766554271E-001                  9.0293951382317272E-002                  7.8131224379163200E-008                  9.9999999921120009E-001                  9.9999999766554271E-001                  9.6391584432083000E-001                  9.2027122835362860E+000                  9.6391584432083011E-001                 -3.8941569076025367E+001                 -9.8999999999999986E+001                  9.6391584432083000E-001                  9.2027122835362860E+000                  8.0258211518975131E-001                  4.5568418372313829E-001                 -3.8941569076025367E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6741240996050184E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9079967272093756E+000                  9.6780468360383221E-001                  1.9056204824766143E-001                  4.2999815794941041E+000                  0.0000000000000000E+000                  1.7285786038101111E+001                  1.8595780613203128E+000                  7.2987586893966760E+000                  6.2259341575654836E-001                  8.4850059898653696E-001                  1.3006796083260133E+000                  6.9699855326951299E-001                  2.8243128083789526E-001                  2.6694137126646378E-005                  9.3181295957264019E-003                  3.4468833607860763E-003                  9.3805276451495393E-003                  1.2239835827637191E+000                  4.9068755931667946E-001                                       28                                       10 
                                      30                                      925                  1.0867732991636246E-001                 -1.7401788649260899E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  1.6063597500131988E-001                  9.0293951382317272E-002                  7.8131224379163200E-008                  9.9999999921120009E-001                  9.9999999766621139E-001                  9.0293951382317272E-002                  7.8131224379163200E-008                  9.9999999921120009E-001                  9.9999999766621139E-001                  9.6416225475580131E-001                  9.2079352091364353E+000                  9.6416225475580120E-001                 -3.8941609891894878E+001                 -1.4449439791871097E+001                  9.6416225475580131E-001                  9.2079352091364353E+000                  8.0295527138424216E-001                  4.5564873271755008E-001                 -3.8941609891894878E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6724998319299130E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9080666866998568E+000                  9.6809033902961672E-001                  1.9056495697959144E-001                  4.2999757620302441E+000                  0.0000000000000000E+000                  1.7285786032547101E+001                  1.8595780438244409E+000                  7.2987579579497162E+000                  6.2259234792466678E-001                  8.4850171397512830E-001                  1.3006767897594993E+000                  6.9700077517641024E-001                  2.8242902513737450E-001                  2.6684307212393387E-005                  9.3181931513064177E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2239835827579479E+000                  4.9068755932231423E-001                                       28                                       10 
                                      35                                      925                  2.7110824959931035E-001                 -1.3442726346879657E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  5.5732542801696046E-002                  9.0293951382317272E-002                  3.8230768119502351E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.0293951382317272E-002                  3.8230768119502351E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.6424144719692129E-001                  9.2096144046709174E+000                  9.6424144719692129E-001                 -3.8941622413277372E+001                 -1.4750469787535078E+001                  9.6424144719692129E-001                  9.2096144046709174E+000                  8.0307513324761892E-001                  4.5563742692041548E-001                 -3.8941622413277372E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6720083724813063E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9080367940846954E+000                  9.6796268382231565E-001                  1.9056091460626451E-001                  4.2999838467768985E+000                  0.0000000000000000E+000                  1.7285786025227324E+001                  1.8595780134998745E+000                  7.2987577378839514E+000                  6.2259199875517302E-001                  8.4850207855970494E-001                  1.3006758681254369E+000                  6.9700150171540876E-001                  2.8242828757518490E-001                  2.6681096693064658E-005                  9.3182139324327739E-003                  3.4468833607860763E-003                  9.3805276451495393E-003                  1.2239835827435879E+000                  4.9068755933634445E-001                                       28                                       10 
                                      40                                      925                  6.7528835566478296E-001                 -9.4836640444984177E-001                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  5.5732542801696046E-002                  9.0293951382317272E-002                  3.8313483555356728E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.0293951382317272E-002                  3.8313483555356728E-002                  2.9522805388565165E-002                  7.8131224379163200E-008                  9.6424040776417808E-001                  9.2095923625688219E+000                  9.6424040776417841E-001                 -3.8941620605169241E+001                 -9.8999999999999986E+001                  9.6424040776417808E-001                  9.2095923625688219E+000                  8.0307348415483937E-001                  4.5563774431459042E-001                 -3.8941620605169241E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.6720104707220305E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9078572133829876E+000                  9.6722167257883540E-001                  1.9054957038793935E-001                  4.3000065352135488E+000                  0.0000000000000000E+000                  1.7285786008864143E+001                  1.8595779485684392E+000                  7.2987577865374833E+000                  6.2259199883284044E-001                  8.4850207845997938E-001                  1.3006758683489810E+000                  6.9700150154906526E-001                  2.8242828784443941E-001                  2.6681112228142138E-005                  9.3182139244323472E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  1.2239835827078567E+000                  4.9068755937125780E-001                                       28                                       10 
